Id,Value,Notes
Str_Person_Name,Nume,
Str_Person_Gender,Sex,
Str_Person_Appearance,Aspect,
Str_Person_Clothes,Haine,
Str_Person_Salary,Salariu,
Str_Person_PrimarySkill,Abilitate Primara,
Str_Person_SecondarySkill,Abilitate Secundara,
Str_Person_Attitude,Atitudine,
Str_Person_Sensitivity,Sensibilitate,
Str_Person_Happiness,Bucurie,
Str_Person_Train,Instruieste pentru {0} Ture,
Str_Person_Training,In instruire,
Str_Person_Hire,Angajeaja,
Str_Person_Fire,Concediaza ({0:C0}),
Str_Person_BiggestConcern,Cea mai mare dorinta: {0},
Str_Person_Sir,Domnul,
Str_Person_Madam,Doamna,
Str_Person_MaxSkill,Maxim {0},
Str_Skill_Development,Dezvoltare,
Str_Skill_Design,Design,
Str_Skill_SalesAndMarketing,Vanzari si Marketing,
Str_Skill_Operations,Operatii,
Str_Skill_Development_Short,Dev,
Str_Skill_Design_Short,Design,
Str_Skill_SalesAndMarketing_Short,Vanzari,
Str_Skill_Operations_Short,Ops,
Str_CompanyCreation_Startup,Incepe!,
Str_Industry_PhotoSharing,Service de Sharing al Pozelor,
Str_Industry_MusicStreaming,Transmitator de Muzica,
Str_Industry_Analytics,Platforma de Analiza,
Str_Difficulty_Easy,Usor,
Str_Difficulty_Normal,Normal,
Str_Difficulty_Hard,Greu,
Str_HighScores_NoScore,Nu sunt scoruri momentan!,
Str_HighScores_YourCash,Banii tai,
Str_Mail_Inbox,Mesaje Primite,
Str_Mail_Junk,Spam,
Str_People_Employees,Angajati,
Str_People_Candidates,Candidati,
Str_People_Shareholders,Actionari,
Str_People_NoCandidates,Niciun Candidat,
Str_Office_Full,Biroul este plin,
Str_Help_LevelUpRecruitment,Sfat: Creste nivelul la Recrutari ca sa cresti numarul de candidati,
Str_Event_WarNZ,Razboi in Noua Zeelanda,
Str_Event_WarSolomon,Insulele Solomon ataca Rusia,
Str_Event_PeaceMiddleEast,Pace in Estul-Mijlociu,
Str_Event_USAFreedomFry,SUA ofera Statuia Libertatii prajita,
Str_Event_SupermanTrailer,Trailer la Superman shocheaza Stock-urile,
Str_Event_MoonsAlign,Alinierea lunilor,
Str_Event_InvestmentTaxBreak,Taxa la Investitii Scade,
Str_Event_InvestmentTaxRise,Taxa la Investitii Creste,
Str_Event_CoffeeHabits,Bautul Cafelei creste chiria,
Str_Event_CapsuleOffice,Birouri Mici sunt toata furia,
Str_Event_Airono,Airono este in Oras,
Str_Event_ClownWorldcup,Cupa Clovnilor este Aici,
Str_Event_CurrencyStrong,Valuta Locala Devine Puternica,
Str_Event_CurrencyWeak,Valuta Locala Devine Slaba,
Str_Event_MikeTyson,Aprobarea lui Mike Tyson,
Str_Event_PrincePhilip,Respingerea Printului Philip,
Str_Event_GameOfDrones,Mentiunea Urzelei Dronelor,
Str_Event_UnemploymentPeak,Varf de Somaj,
Str_Event_UnemploymentDrop,Retragerea Somajului,
Str_Event_BeaversDam,Efectul Barajului Castorilor,
Str_Event_GarbageHero,Eroul de Gunui AR devine Viral,
Str_Event_JobSpeech,Discursul Scapa Cererile de Locuri de Munc?,
Str_Event_Hackacom,Hackacom isi Inchide Usile,
Str_Event_DietFad,6 Diete Hraneau Bugeturi Ciudate,
Str_Event_64KStreaming,Livestream de 64K Ocupa Toata Reteaua de Internet,
Str_Event_GiantSquid,Caracatitele Defecteaza Reteaua de Rezerva a Internetului,
Str_Event_DigitalPiracy,Piratarea Digitala Retinuta Momentan,
Str_Event_CloudWars,Razboaie asupra Infrastructurii Cloud-ului,
Str_Event_BestSeller,Cel mai bun Vanzator Avertizeaza asupra Tehnologiei,
Str_Event_StartupGame,Jocul de Pornire intareste Industria,
Str_Event_SecurityBreach,Spargerea Securitatii,
Str_EventImpact_Visitors,Vizitatori,
Str_EventImpact_Signups,Inregistrari,
Str_EventImpact_Churn,Churn,
Str_EventImpact_InvestorCapital,Capitalul Investitorilor,
Str_EventImpact_PropertyRental,Inchirierea Proprietatilor,
Str_EventImpact_Candidates,Candidati,
Str_EventImpact_StartingSalary,Salariu de Inceput,
Str_EventImpact_EmployeeHappiness,Bucuria Angajatului,
Str_EventImpact_InfrastructureCost,Pretul Infrastructurii,
Str_Upgrade_Responsive,Design Inteligent,
Str_Upgrade_Responsive_Full,Upgradarea Design-ului Inteligent,
Str_Upgrade_Responsive_Desc,"Design-ul Inteligent te lasa sa faci UI care mege pe Device-uri de toata formele si marimile, de la un mic telefon mobil pana la un Monitor Gigantic. Desing-ul inteligent este in special important pentru produse care atrag consumatorul si care sunt folosite acasa si la servici, si pe drum.",
Str_Upgrade_Accessibility,Accesibilitate,
Str_Upgrade_Accessibility_Full,Upgradarea Accesibilitatii,
Str_Upgrade_Accessibility_Desc,"Accessibility allows users with disability, especially those with visual impairment, to use your product. Accessibility  is always important, but especially for software that are a daily necessity.",
Str_Upgrade_Typography,Tipografie Imbunatatita,
Str_Upgrade_Typography_Full,Improved Typography Upgrade,
Str_Upgrade_Typography_Desc,"Typography is a key part of UI design, and can greatly affect the attractiveness and usability of your product. It is especially important for software that rely on look and feel to attract customers.",
Str_Upgrade_Tutorials,Tutoriale,
Str_Upgrade_Tutorials_Full,Upgradarea la Tutoriale pentru Useri,
Str_Upgrade_Tutorials_Desc,User tutorials can guide users in using your product effectively. Help and documentation is an effective way of training advanced users in complex software.,
Str_Upgrade_Memory,Optimizarea Folosirii Memorie,
Str_Upgrade_Memory_Full,Upgradarea pentru Optimizarea Folosirii Memoriei,
Str_Upgrade_Memory_Desc,Reducing the memory requirements of your product allows more users to be able to use your software. Heavy-weight software that require a lot of computer resources benefit from this kind of optimization.,
Str_Upgrade_Offline,Acces Offline,
Str_Upgrade_Offline_Full,Upgradarea la Acces Offline,
Str_Upgrade_Offline_Desc,"Being able to use software without internet connectivity is always a good option, but in some cases is indispensable. Productivity tools, for example, are a good candidate for this upgrade.",
Str_Upgrade_Errors,Improved Error Handling,
Str_Upgrade_Errors_Full,Improved Error Handling Upgrade,
Str_Upgrade_Errors_Desc,"By improving error handling and logging in your features, not only do you make it easier to support and debug your features, you improve the way users feel about the quality of your software. Improved error handling is always a good investment!",
Str_Upgrade_ForwardCompat,Transmiterea Compatibilitatii,
Str_Upgrade_ForwardCompat_Full,Upgradare la Transmiterea Compatibilitatii,
Str_Upgrade_ForwardCompat_Desc,Being able to upgrade to new versions of your software without hitches creates a great user experience. This becomes invaluable for software where the user is creating a lot of data (such as documents) which need to be migrated to later versions of your software.,
Str_Upgrade_API,Integrare API,
Str_Upgrade_API_Full,Upgrade la Integrarea API-ului,
Str_Upgrade_API_Desc,API-urile lasa alti dezvoltatori sa-ti extinda programele si sa le integreze cu el. Programele indrepdate spre data sunt deobicei buni candidati pentru furnizarea unui API.,
Str_Upgrade_AdaptiveUI,UI Adaptiv,
Str_Upgrade_AdaptiveUI_Full,Upgradare UI Adaptiv,
Str_Upgrade_AdaptiveUI_Desc,"Adaptive UI is the ability for your features to adapt and adjust to each user, based on their usage. This can be a powerful tool for products that are used very frequently throughout the day.",
Str_Upgrade_Gestures,Gesturi,
Str_Upgrade_Gestures_Full,Gestures Upgrade,
Str_Upgrade_Gestures_Desc,Gestures give users the ability to quickly navigate you software using touch gestures. Mobile/touch centric software benefit the most from this upgrade.,
Str_Upgrade_Localisation,Localizare,
Str_Upgrade_Localisation_Full,Upgradare Localizare,
Str_Upgrade_Localisation_Desc,Localizarea este procesul de traducere si facandu-ti programul adecvat pentru audiente non-Engleze. Programele cu text centrat beneficiaza cel mai mult de acest upgrade.,
Str_Upgrade_Compare_Better,Mai placut decat {0},
Str_Upgrade_Compare_Worse,Mai putin placut decat {0},
Str_Upgrade_Compare_Same,Aproape la fel de placut ca {0},
Str_Upgrade_DevEffort,Efort Dezvoltator,
Str_Upgrade_DesignEffort,Efort Designer,
Str_Report_BestFeature,Cea mai buna Functie,
Str_Report_FeatureUpgrades,Upgraduri ale Functiei,
Str_Report_Bugs,Buguri,
Str_Report_DesignTechBalance,Balanta Design / Tech,
Str_Report_Marketing,Marketing,
Str_Report_Pricing,Preturi,
Str_Report_Upgrade_CareEqually,Customers in our market segment care equally about {0} and {1}.,
Str_Report_Upgrade_CareMore,Customers in our market segment care more about {0} than {1}.,
Str_Report_Pricing_PerfectOneTier,"We are doing well with our single pricing plan, but we should consider introducing more plans to reach more potential customers.",
Str_Report_Pricing_PerfectTwoTier,"We are doing well with our two tier pricing plans, but we should consider introducing a third plan to reach more potential customers.",
Str_Report_Pricing_PerfectThreeTier,O ducem bine cu cele trei licente.,
Str_Report_Pricing_Perfect_Short,O ducem bine,
Str_Report_Pricing_WayTooHigh,Pretul planului nostru '{0}' ({1:C0}) e mult prea mare. Chiar trebuie sa-l scadem.,
Str_Report_Pricing_WayTooHigh_Short,Mult prea Mare,
Str_Report_Pricing_TooHigh,"Pretul planului nostru '{0}' ({1:C0}) se apropie de unde ar trebuii sa fie, dar e prea mare. Ar trebuii sa consideram sa il scadem putin.",
Str_Report_Pricing_TooHigh_Short,Un pic prea mare,
Str_Report_Pricing_TooLow,"Pretul planului nostru '{0}' ({1:C0}) se apropie de unde ar trebuii sa fie, dar e prea mic. Ar trebuii sa consideram sa il marim putin.",
Str_Report_Pricing_TooLow_Short,Un pic prea putin,
Str_Report_Pricing_WayTooLow,Pretul planului nostru '{0}' ({1:C0}) e mult prea mic. Ar trebuii sa-l crestem definitiv.,
Str_Report_Pricing_WayTooLow_Short,Mult prea mic,
Str_Report_BestFeature_Desc,"Cea mai buna functie a noastra are {0} componente, {1} upgradeuri si {2} buguri.",
Str_Report_BestFeature_IsRequested,Aceasta functie a fost ceruta de catre utilizatorii nostri.,
Str_Report_Bugs_Good,Our customers are really happy with how bug free our product is. {0} out of {1} features have known bugs.,
Str_Report_Bugs_SoSo,Our customers think we are doing an OK job with bugs but we could be doing better. {0} out of {1} features have known bugs.,
Str_Report_Bugs_Bad,The number of bugs in our product is really hurting us in the market. We need to get it under control. {0} out of {1} features have known bugs.,
Str_Report_DesignTechBalance_MoreDesign,Potentialii nostri clienti in aceasta piata le pasa mai mult de design decat functii technologice.,
Str_Report_DesignTechBalance_MoreTech,Potentialii nostri clienti in aceasta piata le pasa mai mult de technologie decat functii designice.,
Str_Report_DesignTechBalance_SameDesignAndTech,Potentialii nostri clienti le pasa la fel de mult de functii designice si de functii technologice.,
Str_Report_DesignTechBalance_Stats,"Bazat pe asta, {0} din functiile noaste sunt prea technologice, {1} din functiile noastre sunt prea bazate pe design si {2} din functiile noastre au nimerit balanta dintre technologie si design.",
Str_Report_Marketing_BetterForAllSpending,"{0} will attract a larger number of visitors than {1}, for any amount of spending.",
Str_Report_Marketing_BetterForSomeSpending,"{0} will attract a larger number of visitors than {1}, if we spend more than {2:C0}.",
Str_Happiness_Opportunities,Sunt foarte multe oportunitati excitante acolo.,
Str_Happiness_Poachers,"Poachers are calling us right, left and center. Just saying...",
Str_Happiness_BetterSalaries,Aud ca sunt salarii mai bune.,
Str_Happiness_EveryoneHiring,It feels like everybody is hiring these days.,
Str_SprintNotification_BacklogItem,Nivel {0} {1},
Str_SprintNotification_Feature,{0} Functie,
Str_SprintNotification_Features,{0} Functii,
Str_SprintNotification_Upgrade,{0} Upgradat,
Str_SprintNotification_Upgrades,{0} Upgradeuri,
Str_SprintNotification_Bug,{0} fixarea bugului,
Str_SprintNotification_Bugs,{0} fixari de buguri,
Str_SprintNotification_Sprint,Sprint {0} Completed,
Str_Notification_UrgentMail,Ai primit un Email urgent!!!,
Str_Notification_ReadyForLaunch,Suntem gata sa lansam produsul. Hai sa-l trimitem!,
Str_Notification_NameListDelimeter,"{0}, {1}",
Str_Notification_NameListDelimeterLast,{0} si {1},
Str_Notification_EmployeeQuit,{0} s-a saturat si a demisionat!!,
Str_Notification_EmployeesQuit,{0} s-au saturat si au demisionat!!,
Str_Notification_UnfinishedFeature,"N-ai terminat cu designul unei noi functii. Ori termin-o si adaug-o turei, sau anuleaza.",
Str_Notification_InDebt,Balanta contului tau a ajuns negativa! Mai ai 8 saptamani ca sa scapi de faliment. Considea gasirea unui nou investitor!,
Str_Notification_FirstCustomer,Bine facut! Primul tau user tocmai s-a inregistrat si inca multi o s-o mai faca!,
Str_Notification_Quit,Esti sigur ca vrei sa iesi fara sa salvezi?,
Str_Notification_NewGame,Esti sigur ca vrei sa incepi un joc nou? O sa pierzi orice date nesalvate!,
Str_Notification_ConflictingFeature,"The feature you have designed conflicts with a user-requested feature. If you continue to build it, you will miss the chance to build the requested feature.",
Str_Notification_NewNetworkTopologyAvailable,A new network topology is available for research,
Str_Notification_NetworkTopologyResearchCompleted,Terminat de cercetat {0},
Str_Notification_EmptySprint,Tura este goala. Intoarcete in backlog si alege la ce vrei sa lucrezi.,
Str_Notification_NoServers,Trebuie sa ai cel putin 1 server intr-un centru de date activ.,
Str_Notification_FullSprint,Tura tea este deja plina!,
Str_Notification_SelectInvestor,Select at least one investor profile.,
Str_Notification_SellCompany,Selling your company will end the game. Are you sure you have had it with your venture?,
Str_Notification_BadCounterOffer,Your counter offer is worse than what the investor originally offered you. You may want to reconsider.,
Str_Notification_OfficeTooSmall,Biroul tau e prea mic!,
Str_Notification_FurnitureInCredit,Your furniture has been placed in storage. Would you like to place them in your office now?,
Str_Notification_ConfirmDeprecateFeature,Are you sure you want to deprecate this feature?,
Str_Notification_ConfirmCancelFeature,Are you sure you want to cancel this feature? Any progress will be lost.,
Str_Notification_ConfirmCancelFeatureUpgrade,"Esti sigur ca vrei sa anulezi upgradarea functiei? Orice progres va fi pierdut.",
Str_Notification_AlreadyDesginingFeature,"O functie este deja in lucru. Termin-o sau anuleaza-o inainte de a crea una noua.",
Str_Notification_Action_OpenMail,Deschide Mailbox-ul,
Str_Notification_Action_Launch,Lanseaza,
Str_Notification_Action_Close,Inchide,
Str_Notification_Action_OpenBacklog,Deschide Backlog-ul,
Str_Notification_Action_Quit,Iesi,
Str_Notification_Action_NewGame,Joc nou,
Str_Notification_Action_OpenInfrastructure,Deschide Infrastructura,
Str_Notification_Action_SellCompany,Vinde tot!,
Str_Notification_Action_OpenStore,Deschide Magazin-ul,
Str_Notification_Action_SeeCandidates,Vezi Candidatii,
Str_Notification_Action_OpenMarketing,Open Marketing,
Str_Notification_Action_Next,Urmator,
Str_Notification_Action_YesDeprecate,"Da, dezaproba",
Str_Notification_Action_YesCancel,"Da, anuleaza",
Str_Tutorial_GameStart1_Page1,First things first: let's head over to the backlog and figure out what we should work on.,
Str_Tutorial_Backlog1_Page1,The backlog is where you pick the tasks and features to work on in the next sprint (1 week of work).,
Str_Tutorial_Backlog1_Page2,Let's begin with desiging a new feature. Click the feature button on the left.,
Str_Tutorial_Backlog2_Page1,Besides features there are other tasks we need to focus on.,
Str_Tutorial_Backlog2_Page2,"In the backlog on the left, double click the 'Infrastructure' task to add it to the next sprint.",
Str_Tutorial_Backlog2_Page3,"Hover the mouse over the question mark that appears above the task, to see what it's for and what it will unlock when it's leveled up.",
Str_Tutorial_Backlog3_Page1,We are ready to start the sprint! Click the big play button at the top of the screen to get going.,
Str_Tutorial_Employees1_Page1,"Your team is your most valuable asset. Hire capable people with good attitudes, and you are well on your way to success!",
Str_Tutorial_Employees1_Page2,Many different factors can cause your employees to become dissatisfied.,
Str_Tutorial_Employees1_Page3,"There are three ways you can deal with an unhappy employee: Increase their salary, add more goodies to the office, or make them or others that may be affecting them redundant.",
Str_Tutorial_Employees2_Page1,"That's a great little one-person show you got going on there, but if you you're going to succeed you have to start building a team. Start looking at candidates and hire someone that complements your skillset.",
Str_Tutorial_Investment1_Page1,"Getting the right investors on-board can be the difference between fizzling out, or having enough runway to become profitable.",
Str_Tutorial_Investment1_Page2,Investors appear here when you level up the Seek Investor task in your backlog.,
Str_Tutorial_Investment1_Page3,"You can select up to two investors to pitch your startup to. Pitching to investors can be tricky business, so if it's your first time remember to do a practice run.",
Str_Tutorial_Investment2_Page1,You pitch your startup to investors with a slide show. There are 12 different subjects you can choose from.,
Str_Tutorial_Investment2_Page2,Remember not all investors are interested in all subjects. Use their profile for clues as to what they might be interested in,
Str_Tutorial_Investment2_Page3,"You can also ask investors a question, which helps you eliminate some subjects they might not be interested in",
Str_Tutorial_Investment2_Page4,"If an investor reaches a minimum level of interest, they will make you an offer. You'll then have the chance to negotiate and/or accept the offer",
Str_Tutorial_Investment3_Page1,Our cash reserves are slowly running out! We should look into finding some investors.,
Str_Tutorial_FirstFeature_Page1,"Awesome, you just built your very first feature! Now look at what else we need to do to complete the Minimum Viable Product, by clicking the arrow key at the bottom of the screen.",
Str_Tutorial_FirstLevelup_Page1,"Fantastic, you just leveled up your very first backlog item! Now look at what else we need to do to complete the Minimum Viable Product, by clicking the arrow key at the bottom of the screen.",
Str_Tutorial_FirstMarketingLevelup_Page1,"Great, you have gained some experience in marketing! We should start spending some money on marketing activities.",
Str_Tutorial_Metric_Breadth_Page1,This is the total number of functional features. Increasing feature count improves the rate of signups.,
Str_Tutorial_Metric_Rating_Page1,"This is the sum of all feature ratings. Improving feature rating will reduce customer churn. A feature's rating depends on its component count, upgrades, performance, design/tech balance, and bug count.",
Str_Tutorial_Metric_Security_Page1,The percentage of feature components that are secured. Increasing security reduces the chances of security attacks being successful.,
Str_Tutorial_Metric_Tests,The percentage of technical feature components that are covered by a test. Tests reduce the number of bugs that may surface in a component.,
Str_Tutorial_RequestedFeature_Page1,Market research can sometimes identify features that are in high demand by customers. Building these features might be complex but can be well worth your while!,
Str_Tutorial_RequestedFeature_Page2,Building each requested feature will boost signups and reduce churn.,
Str_Tutorial_MarketResearch_Page1,"Market research is crucial part of any startup. To understand what features to build for your customers, level up Market Research in your backlog.",
Str_Tutorial_SprintsToFinish_Page1,Tasks and features may take more than one sprint to finish. You can see their progress in the little bars at the top of the screen.,
Str_Tutorial_SprintsToFinish_Page2,Continue to run sprints until the current tasks are completed.,
Str_Tutorial_UpgradeResearch_Page1,Feature upgrades are extremely important in making effective and desirable. Here you can research upgrades that can then be added to individual features.,
Str_Tutorial_UpgradeResearch_Page2,"Remember upgrades take a long time to research. The best upgrades depend on the industry and type of product you're building, so choose wisely!",
Str_Tutorial_Feature_Rating,"Feature rating is based on its number of components, design/tech balance, upgrades, performance, and number of bugs. Requested features also have an increased rating.",
Str_InvestorProfile_Features1,{{He}} is always buying and playing with the latest devices and gadgets.,
Str_InvestorProfile_Features2,{{He}} always installs latest beta release of the OS on {{his}} phone.,
Str_InvestorProfile_Features3,"Whenever updating an app on {{his}} phone, {{he}} reads all of the release notes.",
Str_InvestorProfile_Features4,{{He}} used to build electronic kits as a kid.,
Str_InvestorProfile_Features5,{{He}} is the president of the local Lego club.,
Str_InvestorProfile_Infrastructure1,"Growing up, {{he}} enjoyed assembling computer parts.",
Str_InvestorProfile_Infrastructure2,{{He}} constantly uses buzz words like 'cloud'.,
Str_InvestorProfile_Infrastructure3,{{He}} are mare increde in internetul 5G ca va fi inlocuit cu fibra.,
Str_InvestorProfile_Infrastructure4,{{He}} stie destul de putin despre racirea pe lichid pentru calculatoare.,
Str_InvestorProfile_Infrastructure5,{{He}} has recently invested in a submarine data center startup.,
Str_InvestorProfile_Security1,{{He}} regularly attends Black Hat conferences.,
Str_InvestorProfile_Security2,{{He}} has a tape placed over {{his}} phone camera.,
Str_InvestorProfile_Security3,{{He}} este un mare fan al filmului original Tron.,
Str_InvestorProfile_Security4,{{He}} n-a vrut sa ne foloseasca reteaua Wi-Fi si foloseste telefonul {{his}} ca sa faca hotspot.,
Str_InvestorProfile_Security5,{{He}} always pays for {{his}} food with cash.,
Str_InvestorProfile_Ux1,{{He}} adora tatuajele si are mai multe.,
Str_InvestorProfile_Ux2,{{He}} doar detine monitoare 4K si injura la ele.,
Str_InvestorProfile_Ux3,{{He}} detine o tableta de desenat foarte scumpa.,
Str_InvestorProfile_Ux4,"{{He}} is a great believer that skeuomorphism will make a comeback, albeit in a different form.",
Str_InvestorProfile_Ux5,{{He}} uraste siteurile care deturneaza rotita mouseului cu javascript.,
Str_InvestorProfile_Branding1,{{He}} este foarte bine imbracat(a) si prezentat(a).,
Str_InvestorProfile_Branding2,{{He}} detine un MacBook cu un skin custom.,
Str_InvestorProfile_Branding3,Ghiozdanul {{his}} este acoperit cu stickere.,
Str_InvestorProfile_Branding4,{{He}} poarta un costum Gucci si pantofi asemanatori.,
Str_InvestorProfile_Branding5,{{He}} is always advising young entrepreneurs to choose a company name that has an emotional hook.,
Str_InvestorProfile_IA1,Emailurile {{his}} sunt mereu foarte bine scrise si stabilite clar.,
Str_InvestorProfile_IA2,{{He}} often likes to draw diagrams to get a point across.,
Str_InvestorProfile_IA3,{{He}} has setup many folders and dozens of rules in {{his}} mailbox.,
Str_InvestorProfile_IA4,{{He}} absolutely hates sites that mix up search categories and tags in a confusing way.,
Str_InvestorProfile_IA5,{{He}} thinks spreadsheets are one of the most overused and misused tools in the software industry.,
Str_InvestorProfile_BusinessModel1,{{He}} has helped a number of startups go from an idea to a profitable company.,
Str_InvestorProfile_BusinessModel2,{{He}} believes the way a product is priced is most important decision an entrepreneur makes.,
Str_InvestorProfile_BusinessModel3,{{He}} frequently talks about the merits of Lean methodology.,
Str_InvestorProfile_BusinessModel4,"{{He}} discourages early stage startups from building a two-sided marketplace, and instead asks them to focus on building one side first.",
Str_InvestorProfile_BusinessModel5,{{He}} citeste adesea Henry Ford.,
Str_InvestorProfile_MarketResearch1,{{He}} is a very curious individual who is always on the look-out for a problem worth solving.,
Str_InvestorProfile_MarketResearch2,"{{He}} subscribes to as many podcasts, blogs and magazines on software startup news as {{he}} can find.",
Str_InvestorProfile_MarketResearch3,{{He}} often says understanding the competition is the most important activity early stage startups should focus on.,
Str_InvestorProfile_MarketResearch4,{{He}} thinks solving a problem is the easy part. Finding it is what's hard.,
Str_InvestorProfile_MarketResearch5,{{He}} este cunoscat deoarece face sute de alerte Google.,
Str_InvestorProfile_Sales1,{{He}} pare prea entuziasmat.,
Str_InvestorProfile_Sales2,{{He}} never leaves the house without {{his}} business cards.,
Str_InvestorProfile_Sales3,{{He}} is very active on social media and has a large following.,
Str_InvestorProfile_Sales4,"{{He}} is known in the industry for some outrageous publicity stunts, including the infamous Banana Leaf incident.",
Str_InvestorProfile_Sales5,{{He}} often mentions wanting to create a 'win-win' situation.,
Str_InvestorProfile_Recruitment1,{{He}} adora sa vorbeasca cu oameni noi si sa ii cunoasca.,
Str_InvestorProfile_Recruitment2,{{He}} believes finding the right team is the key to finding success.,
Str_InvestorProfile_Recruitment3,{{He}} always asks people for their card or contact information.,
Str_InvestorProfile_Recruitment4,{{He}} has a fake LinkedIn account intended only for 'stalking' people.,
Str_InvestorProfile_Recruitment5,"{{His}} first question to anyone new {{he}} meets is: 'so, what do you do?'",
Str_InvestorProfile_Finances1,{{He}} enjoys filing {{his}} own taxes.,
Str_InvestorProfile_Finances2,{{He}} was quietly counting the number of chairs in the boardroom.,
Str_InvestorProfile_Finances3,{{He}} conduce inceputurile {{his}} prin vorba: banii sunt regele.,
Str_InvestorProfile_Finances4,{{He}} considera ca furnizarea de ceai si cafea gratis angajatilor este o rusine.,
Str_InvestorProfile_Finances5,{{He}} advises startup founders to take timely payment of employee salaries very seriously.,
Str_InvestorProfile_Legal1,{{He}} are 3 brevete sub centura {{his}}.,
Str_InvestorProfile_Legal2,{{He}} adesea sfatuieste incepatorii sa-si comercializeze brandul cat mai repede.,
Str_InvestorProfile_Legal3,{{He}} este un mare fan al show-ului Better Call Saul.,
Str_InvestorProfile_Legal4,{{He}} nu a incercat niciodata sa iasa din datorie.,
Str_InvestorProfile_Legal5,{{He}} often finishes {{his}} sentences with 'I rest my case'.,
Str_InvestorProfile_He_Male,El,
Str_InvestorProfile_He_Male_Lowercase,el,
Str_InvestorProfile_His_Male,Lui,
Str_InvestorProfile_His_Male_Lowercase,lui,
Str_InvestorProfile_He_Female,Ea,
Str_InvestorProfile_He_Female_Lowercase,ea,
Str_InvestorProfile_His_Female,Ei,
Str_InvestorProfile_His_Female_Lowercase,ei,
Str_InvestorProfile_SkillBonus,Bonus: +1 skill pentru toti actualii si viitorii angajati. Abtitudinea depinde de profilul investitorului.,
Str_Investment_LevelUp,Level Up <color='#E0FBFCFF'>Seek Investor</color>,
Str_Investment_BeginPitch,Incepe Punctul de Investitie,
Str_Investment_Practice,Exerseaza,
Str_Investment_Tip_ShowingSlides,"Getting an investor to invest in your venture is all about getting them excited. Start by examining the investor's profile and showing them slides on topics they might be interested in.

Remember, showing the same type of slide over and over will eventually bore your audience.",
Str_Investment_Tip_AskingQuestions,"When in doubt, you can always ask the investor a clarifying question to eliminate some topics they may not be interested in, at the cost of a slide.

Press the question mark on the computer keyboard to do this.",
Str_Investment_Tip_MakingADeal,"Well done! You have gauged the interest of this investor and they have put in an offer. Here is your chance to try and get a better deal by reducing the equity, or increasing the investment amount. But remember, if you push the investor too far, they may retract their offer completely!",
Str_Investment_Tip_Rejected,Din pacate l-ai plictisit pe investitor si nu ti-a mai dat nicio oferta. Mult noroc data viitoare!,
Str_Investment_Tip_AggressiveOffer,Contra oferta dvs. a fost prea agresiva si investitorul a decis sa iasa din afacere. Mult noroc data viitoare!,
Str_Investment_Leave,Iesi,
Str_Investment_Slide_Features,Functii,
Str_Investment_Slide_Infrastructure,Infrastructura,
Str_Investment_Slide_Security,Securitate,
Str_Investment_Slide_UX,UX,
Str_Investment_Slide_Branding,Logo,
Str_Investment_Slide_InformationArchitecture,Information Architecture,
Str_Investment_Slide_BusinessModel,Model Business,
Str_Investment_Slide_Sales,Vanzari si Marketing,
Str_Investment_Slide_MarketResearch,Cercetare Piata,
